points,h,w,CPLEX_of,CPLEX_lb,CPLEX_gap,CPLEX_time,CS_of_best,CS_time_best,CS_of_mean,CS_of_std,CS_time_mean,CS_time_std
58,2,24,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0
58,2,32,0.09375,0.09375,0.0,0.12,0.09375,0.01,0.09375,0.0,0.207,0.45514466564672224
58,2,42,0.61905,0.61905,0.0,0.42,0.61905,0.01,0.6190499999999999,1.1702778228589004e-16,0.261,0.3305366007637346
58,2,48,0.875,0.875,0.0,1.44,0.875,0.42,0.875,0.0,3.175,4.331669552390984
58,3,16,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.027000000000000003,0.04398231968012198
58,3,24,0.40278,0.40278,0.0,1.37,0.40278,0.01,0.40278,0.0,1.9440000000000002,4.906442929681565
58,3,28,0.85714,0.85714,0.0,3.51,0.85714,0.02,0.85714,0.0,1.164,1.1082438560373093
58,3,32,1.53125,1.53125,0.0,30.73,1.53125,0.73,1.53125,0.0,4.542,6.34791094245448
58,4,16,0.23438,0.23438,0.0,0.64,0.23438,0.0,0.23437999999999998,2.925694557147251e-17,0.471,1.398796705108438
58,4,18,0.44444,0.44444,0.0,2.37,0.44444,0.01,0.44444799999999995,4.216370213562056e-6,0.15700000000000003,0.25612713856815544
58,4,21,1.03571,1.03571,0.0,7.24,1.03571,0.02,1.03571,0.0,2.149,3.0624625167774164
58,4,24,1.85417,1.85417,0.0,12.7,1.85417,0.02,1.8541700000000003,2.340555645717801e-16,2.247,5.903870764168199
505,2,24,0.3125,0.3125,0.0,0.48,0.3125,0.08,0.3125,0.0,0.8149999999999998,0.5000944355263758
505,2,32,0.98438,0.98438,0.0,3.76,0.98438,4.12,0.98438,0.0,20.463,18.31883975583607
505,2,42,3.29762,3.29762,0.0,28.13,3.29762,8.87,3.297620000000001,9.362222582871203e-16,30.549,14.441283761032695
505,2,48,4.77083,4.77083,0.0,32.9,4.77083,38.83,4.770830000000001,9.362222582871203e-16,176.282,152.1297495780055
505,3,16,0.20833,0.20833,0.0,0.59,0.20833,0.13,0.20832999999999996,2.925694557147251e-17,1.464,1.3545331299012218
505,3,24,2.83333,2.83333,0.0,23.35,2.83333,63.05,2.83333,0.0,260.11,192.06980796922076
505,3,28,5.58334,5.58334,0.0,77.08,5.58334,79.82,5.605957,0.029931868208390267,375.64399999999995,303.7271460519933
505,3,32,8.88542,1.72106,80.63,3614.17,8.69792,423.82,8.772918999999998,0.14940950129314626,1023.2510000000002,1046.4966496145337
505,4,16,3.20313,3.20313,0.0,94.63,3.20313,141.74,3.2031300000000007,9.362222582871203e-16,292.42299999999994,229.95776322572323
505,4,18,4.70833,4.70833,0.0,281.92,4.70833,146.0,4.734720000000001,0.05573111159845989,530.561,547.5870346742456
505,4,21,7.79762,7.37065,5.48,3602.3,7.79762,177.98,7.8333330000000005,0.03680009059469519,725.1179999999999,744.3378533793195
505,4,24,12.65625,1.61632,87.23,3608.5,12.34375,2747.34,12.465627999999999,0.0850597988084461,1174.0810000000001,923.6051194031884
5046,2,24,18.85416,17.79779,5.6,3603.59,19.02083,2632.66,19.4770823,0.3845809606337934,2404.588,832.5178395792956
5046,2,32,42.375,28.70882,32.25,3626.01,43.40625,3248.82,43.690628,0.28912568154504864,3017.866,417.3512836448452
5046,2,42,82.55953,55.95083,32.23,3600.42,84.29762,3597.83,84.820237,0.3322179121216148,2946.667,562.8115233371747
5046,2,48,115.78126,64.7568,44.07,3600.3,114.125,2649.54,115.577087,0.8279827794378064,3307.0520000000006,295.1405286676539
5046,3,16,26.87501,21.70452,19.24,3623.18,27.33334,1608.63,27.837507,0.41837551065068596,2871.7780000000002,522.4094874670209
5046,3,24,90.12501,50.15995,44.34,3600.31,83.77779,3146.23,84.84584500000001,0.6315827265115621,3129.2139999999995,434.74850255189057
5046,3,28,127.51191,61.35167,51.89,3601.06,123.21429,3460.38,124.057142,0.611183590235645,3336.84,329.97005678966957
5046,3,32,181.30209,72.82405,59.83,3600.52,165.59375,3494.09,167.28020999999998,1.2567381959483703,3476.7130000000006,125.51674665159226
5046,4,16,77.76563,44.14862,43.23,3603.76,76.92188,3496.04,77.90468999999999,0.6464400879689729,3299.9080000000004,315.2477596290116
5046,4,18,105.31945,50.85738,51.71,3604.28,102.77779,3441.25,103.488894,0.549960042855642,3387.5240000000003,113.98531349842112
5046,4,21,156.66666,63.44757,59.5,3600.38,145.85713,3482.24,146.999992,0.6073892414588817,3132.118,317.1220694446996
5046,4,24,233.27084,80.04443,65.69,3600.59,197.51043,2944.57,199.053134,1.076631422696634,3162.4049999999997,385.3065932835535
13206,2,24,87.20834,76.36842,12.43,3678.81,95.79168,2939.14,97.75209220000002,1.338617895818651,3205.091,461.594587909973
13206,2,32,270.46875,151.91128,43.83,3601.06,237.96875,3113.19,239.73593999999997,1.5404760478501482,3421.8360000000002,187.2311854484835
13206,2,42,790.29763,149.62194,81.07,3600.81,496.54761,3589.44,499.602373,2.0547632683761283,3566.429,28.22019034899187
13206,2,48,1350.30212,159.84262,88.16,3600.77,686.30208,3557.37,689.5854190000001,1.7063893266481827,3580.0939999999996,12.88624951902868
13206,3,16,146.02084,91.995,37.0,3661.78,145.00002,3467.28,146.66251900000003,1.1141807556371726,3173.5129999999995,416.7600214631917
13206,3,24,736.45835,126.63297,82.81,3600.91,453.62504,3489.49,456.216698,1.6942205628469142,3556.7580000000003,35.69724477385407
13206,3,28,1321.51194,135.27566,89.76,3600.78,653.19049,3446.76,655.553584,1.8858526979073422,3554.0020000000004,51.21400889079729
13206,3,32,1751.2396,114.07944,93.49,3601.05,872.92711,3597.98,879.44795,2.9462005193469167,3582.4189999999994,14.531105677897411
13206,4,16,633.5,157.52275,75.14,3600.64,393.125,3517.77,395.83906399999995,1.8104782361526004,3496.7290000000003,81.28193546060652
13206,4,18,933.83335,147.98067,84.15,3600.74,526.58336,3575.23,528.930577,1.3692872221224364,3578.81,8.48805827815367
13206,4,21,1659.28557,123.90595,92.53,3600.86,747.70232,3559.46,751.536852,2.3063774162709096,3581.9200000000005,15.479394188547731
13206,4,24,2431.98964,102.85242,95.77,3600.8,997.4063,3592.36,1003.0135819999999,3.557384450400489,3586.7210000000005,18.104975037572103
