CPLEX_of,CS_of,CPLEX_time,CS_time
0.0,0.0,0.03,0.0
0.09375,0.09375,0.12,0.01
0.61905,0.61905,0.42,0.01
0.875,0.875,1.44,0.42
0.0,0.0,0.02,0.0
0.40278,0.40278,1.37,0.01
0.85714,0.85714,3.51,0.02
1.53125,1.53125,30.73,0.73
0.23438,0.23438,0.64,0.0
0.44444,0.44444,2.37,0.01
1.03571,1.03571,7.24,0.02
1.85417,1.85417,12.7,0.02
0.3125,0.3125,0.48,0.08
0.98438,0.98438,3.76,4.12
3.29762,3.29762,28.13,8.87
4.77083,4.77083,32.9,38.83
0.20833,0.20833,0.59,0.13
2.83333,2.83333,23.35,63.05
5.58334,5.58334,77.08,79.82
8.88542,8.69792,3614.17,423.82
3.20313,3.20313,94.63,141.74
4.70833,4.70833,281.92,146.0
7.79762,7.79762,3602.3,177.98
12.65625,12.34375,3608.5,2747.34
18.85416,19.02083,3603.59,2632.66
42.375,43.40625,3626.01,3248.82
82.55953,84.29762,3600.42,3597.83
115.78126,114.125,3600.3,2649.54
26.87501,27.33334,3623.18,1608.63
90.12501,83.77779,3600.31,3146.23
127.51191,123.21429,3601.06,3460.38
181.30209,165.59375,3600.52,3494.09
77.76563,76.92188,3603.76,3496.04
105.31945,102.77779,3604.28,3441.25
156.66666,145.85713,3600.38,3482.24
233.27084,197.51043,3600.59,2944.57
87.20834,95.79168,3678.81,2939.14
270.46875,237.96875,3601.06,3113.19
790.29763,496.54761,3600.81,3589.44
1350.30212,686.30208,3600.77,3557.37
146.02084,145.00002,3661.78,3467.28
736.45835,453.62504,3600.91,3489.49
1321.51194,653.19049,3600.78,3446.76
1751.2396,872.92711,3601.05,3597.98
633.5,393.125,3600.64,3517.77
933.83335,526.58336,3600.74,3575.23
1659.28557,747.70232,3600.86,3559.46
2431.98964,997.4063,3600.8,3592.36
