execution,points,h,w,CS_of,CS_time
1,58,2,24,0.0,0.0
2,58,2,24,0.0,0.0
3,58,2,24,0.0,0.0
4,58,2,24,0.0,0.0
5,58,2,24,0.0,0.0
6,58,2,24,0.0,0.0
7,58,2,24,0.0,0.0
8,58,2,24,0.0,0.0
9,58,2,24,0.0,0.0
10,58,2,24,0.0,0.0
1,58,2,32,0.09375,0.01
2,58,2,32,0.09375,0.01
3,58,2,32,0.09375,0.6
4,58,2,32,0.09375,0.01
5,58,2,32,0.09375,0.01
6,58,2,32,0.09375,0.01
7,58,2,32,0.09375,0.01
8,58,2,32,0.09375,0.01
9,58,2,32,0.09375,0.01
10,58,2,32,0.09375,1.39
1,58,2,42,0.61905,0.01
2,58,2,42,0.61905,0.79
3,58,2,42,0.61905,0.53
4,58,2,42,0.61905,0.83
5,58,2,42,0.61905,0.02
6,58,2,42,0.61905,0.01
7,58,2,42,0.61905,0.22
8,58,2,42,0.61905,0.02
9,58,2,42,0.61905,0.14
10,58,2,42,0.61905,0.04
1,58,2,48,0.875,1.09
2,58,2,48,0.875,0.46
3,58,2,48,0.875,0.85
4,58,2,48,0.875,7.07
5,58,2,48,0.875,5.51
6,58,2,48,0.875,0.42
7,58,2,48,0.875,0.55
8,58,2,48,0.875,0.48
9,58,2,48,0.875,13.54
10,58,2,48,0.875,1.78
1,58,3,16,0.0,0.02
2,58,3,16,0.0,0.01
3,58,3,16,0.0,0.14
4,58,3,16,0.0,0.0
5,58,3,16,0.0,0.01
6,58,3,16,0.0,0.0
7,58,3,16,0.0,0.0
8,58,3,16,0.0,0.03
9,58,3,16,0.0,0.0
10,58,3,16,0.0,0.06
1,58,3,24,0.40278,0.46
2,58,3,24,0.40278,0.01
3,58,3,24,0.40278,1.23
4,58,3,24,0.40278,0.88
5,58,3,24,0.40278,0.42
6,58,3,24,0.40278,15.86
7,58,3,24,0.40278,0.06
8,58,3,24,0.40278,0.03
9,58,3,24,0.40278,0.48
10,58,3,24,0.40278,0.01
1,58,3,28,0.85714,0.02
2,58,3,28,0.85714,1.84
3,58,3,28,0.85714,0.9
4,58,3,28,0.85714,0.03
5,58,3,28,0.85714,0.5
6,58,3,28,0.85714,0.09
7,58,3,28,0.85714,2.31
8,58,3,28,0.85714,2.41
9,58,3,28,0.85714,2.94
10,58,3,28,0.85714,0.6
1,58,3,32,1.53125,1.17
2,58,3,32,1.53125,0.06
3,58,3,32,1.53125,3.43
4,58,3,32,1.53125,1.4
5,58,3,32,1.53125,0.73
6,58,3,32,1.53125,0.52
7,58,3,32,1.53125,19.86
8,58,3,32,1.53125,1.79
9,58,3,32,1.53125,5.07
10,58,3,32,1.53125,11.39
1,58,4,16,0.23438,0.01
2,58,4,16,0.23438,0.01
3,58,4,16,0.23438,0.01
4,58,4,16,0.23438,0.01
5,58,4,16,0.23438,0.0
6,58,4,16,0.23438,0.01
7,58,4,16,0.23438,4.45
8,58,4,16,0.23438,0.01
9,58,4,16,0.23438,0.15
10,58,4,16,0.23438,0.05
